"","activity","subject","sensor","avg_reading"
"1","LAYING",20,"angle.tBodyAccJerkMean..gravityMean.",0.0116779235473718
"2","LAYING",20,"angle.tBodyAccMean.gravity.",-0.0104984399246154
"3","LAYING",20,"angle.tBodyGyroJerkMean.gravityMean.",-0.0358808716955128
"4","LAYING",20,"angle.tBodyGyroMean.gravityMean.",-0.00336637496538461
"5","LAYING",20,"angle.X.gravityMean.",-0.391737559294872
"6","LAYING",20,"angle.Y.gravityMean.",0.0400896900897436
"7","LAYING",20,"angle.Z.gravityMean.",-0.0560916735528205
"8","LAYING",20,"fBodyAcc.mean...X",-0.57063792171218
"9","LAYING",20,"fBodyAcc.mean...Y",-0.324959680379103
"10","LAYING",20,"fBodyAcc.mean...Z",-0.67195587225
"11","LAYING",20,"fBodyAcc.std...X",-0.538561223491667
"12","LAYING",20,"fBodyAcc.std...Y",-0.273948137371154
"13","LAYING",20,"fBodyAcc.std...Z",-0.65088931224359
"14","LAYING",20,"fBodyAccJerk.mean...X",-0.624523279069231
"15","LAYING",20,"fBodyAccJerk.mean...Y",-0.466996133878205
"16","LAYING",20,"fBodyAccJerk.mean...Z",-0.730766642435897
"17","LAYING",20,"fBodyAccJerk.std...X",-0.584111033739744
"18","LAYING",20,"fBodyAccJerk.std...Y",-0.420402255935897
"19","LAYING",20,"fBodyAccJerk.std...Z",-0.745732864166667
"20","LAYING",20,"fBodyAccMag.mean..",-0.505493351425641
"21","LAYING",20,"fBodyAccMag.std..",-0.604222557220513
"22","LAYING",20,"fBodyBodyAccJerkMag.mean..",-0.538159936420513
"23","LAYING",20,"fBodyBodyAccJerkMag.std..",-0.548497929924744
"24","LAYING",20,"fBodyBodyGyroJerkMag.mean..",-0.659341951769231
"25","LAYING",20,"fBodyBodyGyroJerkMag.std..",-0.670451894533974
"26","LAYING",20,"fBodyBodyGyroMag.mean..",-0.547332691298077
"27","LAYING",20,"fBodyBodyGyroMag.std..",-0.588328799467949
"28","LAYING",20,"fBodyGyro.mean...X",-0.579382474189103
"29","LAYING",20,"fBodyGyro.mean...Y",-0.526303994216667
"30","LAYING",20,"fBodyGyro.mean...Z",-0.431155163544231
"31","LAYING",20,"fBodyGyro.std...X",-0.676883051647436
"32","LAYING",20,"fBodyGyro.std...Y",-0.46709876350641
"33","LAYING",20,"fBodyGyro.std...Z",-0.522534472884615
"34","LAYING",20,"tBodyAcc.mean...X",0.268210689679487
"35","LAYING",20,"tBodyAcc.mean...Y",-0.0154394352991026
"36","LAYING",20,"tBodyAcc.mean...Z",-0.103432062417949
"37","LAYING",20,"tBodyAcc.std...X",-0.546535422961538
"38","LAYING",20,"tBodyAcc.std...Y",-0.259011300096154
"39","LAYING",20,"tBodyAcc.std...Z",-0.639730168647436
"40","LAYING",20,"tBodyAccJerk.mean...X",0.0750346921474359
"41","LAYING",20,"tBodyAccJerk.mean...Y",-0.00274400097455128
"42","LAYING",20,"tBodyAccJerk.mean...Z",-0.00251495485183974
"43","LAYING",20,"tBodyAccJerk.std...X",-0.586215941176923
"44","LAYING",20,"tBodyAccJerk.std...Y",-0.426120353397436
"45","LAYING",20,"tBodyAccJerk.std...Z",-0.738913456730769
"46","LAYING",20,"tBodyAccJerkMag.mean..",-0.564555998864103
"47","LAYING",20,"tBodyAccJerkMag.std..",-0.540847617073269
"48","LAYING",20,"tBodyAccMag.mean..",-0.452429326099846
"49","LAYING",20,"tBodyAccMag.std..",-0.519017420878205
"50","LAYING",20,"tBodyGyro.mean...X",-0.0224726834409615
"51","LAYING",20,"tBodyGyro.mean...Y",-0.0789627194310256
"52","LAYING",20,"tBodyGyro.mean...Z",0.0900253976657692
"53","LAYING",20,"tBodyGyro.std...X",-0.652396391814103
"54","LAYING",20,"tBodyGyro.std...Y",-0.485894484605705
"55","LAYING",20,"tBodyGyro.std...Z",-0.460843186407692
"56","LAYING",20,"tBodyGyroJerk.mean...X",-0.0945547052108333
"57","LAYING",20,"tBodyGyroJerk.mean...Y",-0.0402012429820513
"58","LAYING",20,"tBodyGyroJerk.mean...Z",-0.0525724570615385
"59","LAYING",20,"tBodyGyroJerk.std...X",-0.653186069490385
"60","LAYING",20,"tBodyGyroJerk.std...Y",-0.643573137512821
"61","LAYING",20,"tBodyGyroJerk.std...Z",-0.536900063648718
"62","LAYING",20,"tBodyGyroJerkMag.mean..",-0.624627827903846
"63","LAYING",20,"tBodyGyroJerkMag.std..",-0.65307636871282
"64","LAYING",20,"tBodyGyroMag.mean..",-0.435122258175641
"65","LAYING",20,"tBodyGyroMag.std..",-0.521471397919231
"66","LAYING",20,"tGravityAcc.mean...X",0.590974958467949
"67","LAYING",20,"tGravityAcc.mean...Y",0.00243648291666667
"68","LAYING",20,"tGravityAcc.mean...Z",0.107789718651859
"69","LAYING",20,"tGravityAcc.std...X",-0.95804564051282
"70","LAYING",20,"tGravityAcc.std...Y",-0.951149621217949
